SampleID,FlumeID,Treatment,Date,SampleType,SampleScale,SampleTime,Parameter,Units,Value
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,VelMag,m/s,0.11
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,VelMag,m/s,0.11
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.12324951
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.113525438
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.11074912
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.09851005
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.11
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.057393834
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.047668023
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.048753022
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.056183856
LFTO2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,turnover,VelMag,m/s,0.052
R10B3,Flume1,R10,11/7/2019,biofilm,patch_flat,background,VelMag,m/s,0.08
R10FIL2,Flume1,R10,11/7/2019,biofilm,patch_top_filaments,plateau,VelMag,m/s,0.16
R10P10,Flume1,R10,11/7/2019,biofilm,patch_top,plateau,VelMag,m/s,0.108177886
R10P15,Flume1,R10,11/7/2019,biofilm,patch_slope,plateau,VelMag,m/s,0.030556086
R10P2,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.076604638
R10P4,Flume1,R10,11/7/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.058093725
R10TO1,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,VelMag,m/s,0.08
R10TO3,Flume1,R10,11/7/2019,biofilm,patch_flat,turnover,VelMag,m/s,0.08
R2P17,Flume2,R2,11/1/2019,biofilm,patch_top,plateau,VelMag,m/s,0.117764433
R2P2,Flume2,R2,11/1/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.053553986
R2P3,Flume2,R2,11/1/2019,biofilm,patch_slope,plateau,VelMag,m/s,0.039423993
R2P9,Flume2,R2,11/1/2019,biofilm,patch_post ripple,plateau,VelMag,m/s,0.035831132
R2TO1,Flume2,R2,11/1/2019,biofilm,patch_flat,turnover,VelMag,m/s,0.05
R4B2,Flume2,R4,11/7/2019,biofilm,patch_flat,background,VelMag,m/s,0.06
R4FIL3,Flume2,R4,11/7/2019,biofilm,patch_top_filaments,plateau,VelMag,m/s,0.133502711
R4P3,Flume2,R4,11/7/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.066159732
R4P7,Flume2,R4,11/7/2019,biofilm,patch_post_ripple,plateau,VelMag,m/s,0.03773
R4P9,Flume2,R4,11/7/2019,biofilm,patch_slope,plateau,VelMag,m/s,0.03610538
R6B1,Flume1,R6,11/1/2019,biofilm,patch_flat,background,VelMag,m/s,0.06
R6B3,Flume1,R6,11/1/2019,biofilm,patch_flat,background,VelMag,m/s,0.06
R6P1,Flume1,R6,11/1/2019,biofilm,patch_flat,plateau,VelMag,m/s,0.065917854
R6P10,Flume1,R6,11/1/2019,biofilm,patch_slope,plateau,VelMag,m/s,0.068936063
R6P15,Flume1,R6,11/1/2019,biofilm,patch_top,plateau,VelMag,m/s,0.080576167
R6P9,Flume1,R6,11/1/2019,biofilm,patch_post_ripple,plateau,VelMag,m/s,0.032
R6TO1,Flume1,R6,11/1/2019,biofilm,patch_flat,turnover,VelMag,m/s,0.06
FFB1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,DryMass,grams,0.018702
FFB3,Flume1,R0HF,10/24/2019,biofilm,patch_flat,background,DryMass,grams,0.007612
FFP10,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.030732
FFP16,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.039022
FFP2,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.021202
FFP7,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.024152
FFTO1,Flume1,R0HF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.016172
LFP11,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.021612
LFP16,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.014392
LFP2,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.010612
LFP7,Flume2,R0LF,10/24/2019,biofilm,patch_flat,plateau,DryMass,grams,0.010032
