SampleID,FlumeID,Treatment,Date,SampleType,SampleScale,SampleTime,Parameter,Units,Value
3003,Flume1,R6,11/1/2019,water,flume_,background,deta15N,permil,58.8
3011,Flume1,R6,11/1/2019,water,flume_0,plateau,deta15N,permil,28318.3
3013,Flume1,R6,11/1/2019,water,flume_0,plateau,deta15N,permil,28230.8
3031,Flume1,R6,11/1/2019,water,flume_162,plateau,deta15N,permil,28823.3
3103,Flume1,R6,11/1/2019,water,flume_542,plateau,deta15N,permil,28755.2
4011,Flume2,R2,11/1/2019,water,flume_0,plateau,deta15N,permil,28835.2
4013,Flume2,R2,11/1/2019,water,flume_0,plateau,deta15N,permil,29037.8
4021,Flume2,R2,11/1/2019,water,flume_42,plateau,deta15N,permil,29307.2
4033,Flume2,R2,11/1/2019,water,flume_102,plateau,deta15N,permil,29366.7
4101,Flume2,R2,11/1/2019,water,flume_542,plateau,deta15N,permil,29214.4
4103,Flume2,R2,11/1/2019,water,flume_542,plateau,deta15N,permil,29390.1
5011,Flume1,R10,11/7/2019,water,flume_0,plateau,deta15N,permil,18649.1
5021,Flume1,R10,11/7/2019,water,flume_59,plateau,deta15N,permil,18533.4
5023,Flume1,R10,11/7/2019,water,flume_59,plateau,deta15N,permil,18774.8
5031,Flume1,R10,11/7/2019,water,flume_128,plateau,deta15N,permil,18647.7
5033,Flume1,R10,11/7/2019,water,flume_128,plateau,deta15N,permil,18541.6
5033,Flume1,R10,11/7/2019,water,flume_128,plateau,deta15N,permil,18469.3
5092,Flume1,R10,11/7/2019,water,flume_474,plateau,deta15N,permil,18458.7
5092,Flume1,R10,11/7/2019,water,flume_474,plateau,deta15N,permil,18413.0
6011,Flume2,R4,11/7/2019,water,flume_0,plateau,deta15N,permil,19579.2
6021,Flume2,R4,11/7/2019,water,flume_59,plateau,deta15N,permil,20075.6
6023,Flume2,R4,11/7/2019,water,flume_59,plateau,deta15N,permil,20156.8
6031,Flume2,R4,11/7/2019,water,flume_128,plateau,deta15N,permil,19702.2
6033,Flume2,R4,11/7/2019,water,flume_128,plateau,deta15N,permil,19921.6
6091,Flume2,R4,11/7/2019,water,flume_474,plateau,deta15N,permil,20026.1
6093,Flume2,R4,11/7/2019,water,flume_474,plateau,deta15N,permil,20016.2
1001,Flume1,R0HF,10/24/2019,water,flume_,background,deta15N,permil,21.8
1003,Flume1,R0HF,10/24/2019,water,flume_,background,deta15N,permil,25.2
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,deta15N,permil,21445.6
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,deta15N,permil,21609.2
1103,Flume1,R0HF,10/24/2019,water,flume_540,plateau,deta15N,permil,21625.2
1011,Flume1,R0HF,10/24/2019,water,flume_0,plateau,deta15N,permil,21445.3
1013,Flume1,R0HF,10/24/2019,water,flume_0,plateau,deta15N,permil,21304.5
1023,Flume1,R0HF,10/24/2019,water,flume_60,plateau,deta15N,permil,21808.4
1033,Flume1,R0HF,10/24/2019,water,flume_120,plateau,deta15N,permil,21502.3
2011,Flume2,R0LF,10/24/2019,water,flume_0,plateau,deta15N,permil,16949.8
2013,Flume2,R0LF,10/24/2019,water,flume_0,plateau,deta15N,permil,17234.3
2021,Flume2,R0LF,10/24/2019,water,flume_60,plateau,deta15N,permil,16950.6
2021,Flume2,R0LF,10/24/2019,water,flume_60,plateau,deta15N,permil,16846.1
2023,Flume2,R0LF,10/24/2019,water,flume_60,plateau,deta15N,permil,17053.6
2031,Flume2,R0LF,10/24/2019,water,flume_120,plateau,deta15N,permil,16858.7
2033,Flume2,R0LF,10/24/2019,water,flume_120,plateau,deta15N,permil,16813.5
2101,Flume2,R0LF,10/24/2019,water,flume_540,plateau,deta15N,permil,16835.2
2103,Flume2,R0LF,10/24/2019,water,flume_540,plateau,deta15N,permil,16707.8
2103,Flume2,R0LF,10/24/2019,water,flume_540,plateau,deta15N,permil,16809.2
3003,Flume1,R6,11/1/2019,water,flume_,background,NitConc,uM,496.4
3011,Flume1,R6,11/1/2019,water,flume_0,plateau,NitConc,uM,581.5
3013,Flume1,R6,11/1/2019,water,flume_0,plateau,NitConc,uM,465.8
3031,Flume1,R6,11/1/2019,water,flume_162,plateau,NitConc,uM,515.7
3103,Flume1,R6,11/1/2019,water,flume_542,plateau,NitConc,uM,497.1
4011,Flume2,R2,11/1/2019,water,flume_0,plateau,NitConc,uM,479.1
4013,Flume2,R2,11/1/2019,water,flume_0,plateau,NitConc,uM,575.5
4021,Flume2,R2,11/1/2019,water,flume_42,plateau,NitConc,uM,467.0
4033,Flume2,R2,11/1/2019,water,flume_102,plateau,NitConc,uM,519.8
4101,Flume2,R2,11/1/2019,water,flume_542,plateau,NitConc,uM,533.1
4103,Flume2,R2,11/1/2019,water,flume_542,plateau,NitConc,uM,620.1
5011,Flume1,R10,11/7/2019,water,flume_0,plateau,NitConc,uM,1067.5
5021,Flume1,R10,11/7/2019,water,flume_59,plateau,NitConc,uM,604.6
5023,Flume1,R10,11/7/2019,water,flume_59,plateau,NitConc,uM,804.1
5031,Flume1,R10,11/7/2019,water,flume_128,plateau,NitConc,uM,1102.9
5033,Flume1,R10,11/7/2019,water,flume_128,plateau,NitConc,uM,1102.9
5033,Flume1,R10,11/7/2019,water,flume_128,plateau,NitConc,uM,850.3
5092,Flume1,R10,11/7/2019,water,flume_474,plateau,NitConc,uM,1124.1
5092,Flume1,R10,11/7/2019,water,flume_474,plateau,NitConc,uM,1124.1
6011,Flume2,R4,11/7/2019,water,flume_0,plateau,NitConc,uM,1090.2
6021,Flume2,R4,11/7/2019,water,flume_59,plateau,NitConc,uM,1195.2
6023,Flume2,R4,11/7/2019,water,flume_59,plateau,NitConc,uM,596.0
6031,Flume2,R4,11/7/2019,water,flume_128,plateau,NitConc,uM,755.1
6033,Flume2,R4,11/7/2019,water,flume_128,plateau,NitConc,uM,765.9
6091,Flume2,R4,11/7/2019,water,flume_474,plateau,NitConc,uM,897.4
6093,Flume2,R4,11/7/2019,water,flume_474,plateau,NitConc,uM,1205.0
1001,Flume1,R0HF,10/24/2019,water,flume_,background,NitConc,uM,711.8
1003,Flume1,R0HF,10/24/2019,water,flume_,background,NitConc,uM,1058.9
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,NitConc,uM,1019.4
1101,Flume1,R0HF,10/24/2019,water,flume_540,plateau,NitConc,uM,1019.4
